FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden,Donald J. Trump
fips,name,type,totalvote,vote1,vote2
48389,Reeves,County,3683,1394,2249
48391,Refugio,County,3366,1108,2210
48393,Roberts,County,550,17,529
48395,Robertson,County,8080,2359,5631
48397,Rockwall,County,57792,18149,38842
48399,Runnels,County,4262,531,3682
48401,Rusk,County,21348,4624,16511
48403,Sabine,County,5461,662,4767
48405,San Augustine,County,3998,979,3005
48407,San Jacinto,County,12628,2332,10154
48409,San Patricio,County,25850,8971,16495
48411,San Saba,County,2602,287,2308
48413,Schleicher,County,1158,211,939
48415,Scurry,County,5865,818,4978
48417,Shackelford,County,1628,130,1484
48419,Shelby,County,10063,2058,7962
48421,Sherman,County,990,91,885
48423,Smith,County,99263,29343,68546
48425,Somervell,County,4940,768,4099
48427,Starr,County,17478,9099,8224
48429,Stephens,County,3799,396,3385
48431,Sterling,County,639,51,584
48433,Stonewall,County,736,116,615
48435,Sutton,County,1557,322,1222
48437,Swisher,County,2353,478,1842
48439,Tarrant,County,820157,403698,403271
48441,Taylor,County,54924,14489,39439
48443,Terrell,County,458,119,334
48445,Terry,County,3608,757,2809
48447,Throckmorton,County,899,82,806
48449,Titus,County,10530,2852,7563
48451,Tom Green,County,44886,12106,32129
48453,Travis,County,602889,432062,159907
48455,Trinity,County,6938,1323,5579
48457,Tyler,County,9547,1390,8095
48459,Upshur,County,18850,2869,15775
48461,Upton,County,1365,169,1176
48463,Uvalde,County,10323,4066,6160
48465,Val Verde,County,14417,6401,7839
48467,Van Zandt,County,25753,3419,22126
48469,Victoria,County,34006,10271,23244
48471,Walker,County,23595,7875,15368
48473,Waller,County,22617,8130,14206
48475,Ward,County,4034,761,3238
48477,Washington,County,17410,4254,12949
48479,Webb,County,68397,41820,25898
48481,Wharton,County,16709,4671,11892
48483,Wheeler,County,2336,168,2158
48485,Wichita,County,45753,13024,31930
48487,Wilbarger,County,4518,954,3520
48489,Willacy,County,5575,3097,2437
48491,Williamson,County,287092,142457,138649
48493,Wilson,County,25006,6350,18457
48495,Winkler,County,2126,358,1753
48497,Wise,County,32297,4953,26986
48499,Wood,County,22665,3487,18962
48501,Yoakum,County,2628,419,2172
48503,Young,County,8242,1036,7112
48505,Zapata,County,3867,1820,2032
48507,Zavala,County,4379,2864,1490
49001,Beaver,County,3076,356,2673
49003,Box Elder,County,26312,4362,20984
49005,Cache,County,54646,15859,36077
49007,Carbon,County,8822,2306,6255
49009,Daggett,County,590,105,473
49011,Davis,County,166303,56216,101989
49013,Duchesne,County,8442,830,7445
49015,Emery,County,4816,566,4166
49017,Garfield,County,2722,513,2149
49019,Grand,County,5027,2733,2168
49021,Iron,County,23731,4673,18113
49023,Juab,County,5865,645,5087
49025,Kane,County,3869,1005,2777
49027,Millard,County,5872,603,5145
49029,Morgan,County,6254,1060,4957
49031,Piute,County,871,86,773
49033,Rich,County,1320,178,1118
49035,Salt Lake,County,495061,266080,206835
49037,San Juan,County,6677,3004,3454
49039,Sanpete,County,12280,1746,10173
49041,Sevier,County,9666,1032,8427
49043,Summit,County,25439,14947,9928
49045,Tooele,County,31489,8936,21006
49047,Uintah,County,14736,1601,12777
49049,Utah,County,269877,72324,183008
49051,Wasatch,County,16260,5762,9953
49053,Washington,County,88209,20065,65601
49055,Wayne,County,1596,362,1207
49057,Weber,County,108335,39652,64066
50001,Addison,County,22022,14967,6292
50003,Bennington,County,20462,12705,7114
50005,Caledonia,County,16169,9011,6551
50007,Chittenden,County,98915,74961,21017
50009,Essex,County,3288,1405,1773
50011,Franklin,County,25830,13611,11274
50013,Grand Isle,County,4851,2905,1810
50015,Lamoille,County,14915,10240,4163
50017,Orange,County,17122,10304,6187
50019,Orleans,County,14096,7147,6512
50021,Rutland,County,33970,18230,14672
50023,Washington,County,35307,25191,8928
50025,Windham,County,26035,18767,6440
50027,Windsor,County,34446,23376,9971
51001,Accomack,County,16962,7578,9172
51003,Albemarle,County,64657,42466,20804
51005,Alleghany,County,8203,2243,5859
51007,Amelia,County,7893,2411,5390
51009,Amherst,County,17760,5673,11020
51011,Appomattox,County,9268,2418,6702
51013,Arlington,County,130699,105344,22318
51015,Augusta,County,42278,10840,30714
51017,Bath,County,2501,646,1834
51019,Bedford,County,48669,12176,35600
51021,Bland,County,3479,532,2903
51023,Botetourt,County,21128,5705,15102
51025,Brunswick,County,7948,4552,3357
51027,Buchanan,County,9953,1587,8311
51029,Buckingham,County,8126,3471,4544
51031,Campbell,County,29892,8070,21245
51033,Caroline,County,16288,7657,8336
51035,Carroll,County,15651,2842,12659
51036,Charles City,County,4441,2624,1761
51037,Charlotte,County,6191,2317,3815
51041,Chesterfield,County,203884,106935,93326
51043,Clarke,County,9337,3920,5192
51045,Craig,County,3169,587,2536
51047,Culpeper,County,27116,10617,16012
51049,Cumberland,County,5310,2227,3019
51051,Dickenson,County,7303,1503,5748
51053,Dinwiddie,County,15092,6224,8695
51057,Essex,County,6178,3038,3075
51059,Fairfax,County,600823,419943,168401
51061,Fauquier,County,43661,17565,25106
51063,Floyd,County,9408,3004,6225
51065,Fluvanna,County,15840,7414,8155
51067,Franklin,County,29702,8381,20895
51069,Frederick,County,48703,17207,30558
51071,Giles,County,9176,2156,6876
51073,Gloucester,County,22282,6964,14875
51075,Goochland,County,16950,6685,9966
51077,Grayson,County,8131,1535,6529
51079,Greene,County,11311,4163,6866
51081,Greensville,County,4574,2627,1914
51083,Halifax,County,18248,7666,10418
51085,Hanover,County,70967,25307,44318
51087,Henrico,County,183152,116572,63440
51089,Henry,County,26105,9127,16725
51091,Highland,County,1533,417,1092
51093,Isle of Wight,County,23456,9399,13707
51095,James City,County,49622,25553,23153
51097,King and Queen,County,4115,1590,2450
51099,King George,County,14224,5404,8446
51101,King William,County,10736,3260,7320
51103,Lancaster,County,7152,3368,3697
51105,Lee,County,9946,1489,8365
51107,Loudoun,County,224862,138372,82088
51109,Louisa,County,21915,8269,13294
51111,Lunenburg,County,6043,2413,3586
51113,Madison,County,8129,2698,5300
51115,Mathews,County,5826,1825,3901
51117,Mecklenburg,County,16204,6803,9266
51119,Middlesex,County,6785,2491,4196
51121,Montgomery,County,45037,23218,20629
51125,Nelson,County,9316,4327,4812
51127,New Kent,County,14453,4610,9636
51131,Northampton,County,6732,3667,2955
51133,Northumberland,County,7815,3252,4485
51135,Nottoway,County,7078,2971,4027
51137,Orange,County,20742,7995,12426
51139,Page,County,12514,3007,9345
51141,Patrick,County,9534,1954,7485
51143,Pittsylvania,County,34227,10115,23751
51145,Powhatan,County,19730,5320,14055
51147,Prince Edward,County,9574,4973,4434
51149,Prince George,County,17433,7103,10103
51153,Prince William,County,226702,141946,80826
51155,Pulaski,County,17376,4925,12127
51157,Rappahannock,County,4978,2096,2812
51159,Richmond,County,4102,1513,2547
51161,Roanoke,County,56989,21901,34005
51163,Rockbridge,County,12373,4086,8088
51165,Rockingham,County,43811,12644,30349
51167,Russell,County,13386,2373,10879
51169,Scott,County,10869,1692,9063
51171,Shenandoah,County,23684,6836,16463
51173,Smyth,County,14136,3008,10963
51175,Southampton,County,9786,3969,5730
51177,Spotsylvania,County,74984,34102,39293
51179,Stafford,County,79625,40245,37636
51181,Surry,County,4471,2397,2025
51183,Sussex,County,5121,2851,2227
51185,Tazewell,County,20134,3205,16731
51187,Warren,County,21147,6603,14069
51191,Washington,County,28685,6617,21679
51193,Westmoreland,County,9933,4501,5318
51195,Wise,County,16615,3110,13366
51197,Wythe,County,15072,3143,11733
51199,York,County,38787,17683,20241
51510,Alexandria,City,82508,66240,14544
51520,Bristol,City,7806,2313,5347
51530,Buena Vista,City,2776,825,1863
51540,Charlottesville,City,24205,20696,3094
51550,Chesapeake,City,127108,66377,58180
51570,Colonial Heights,City,9146,2972,6007
51580,Covington,City,2603,964,1580
51590,Danville,City,19389,11710,7428
51595,Emporia,City,2381,1612,754
51600,Fairfax,City,13483,9174,4007
51610,Falls Church,City,8819,7146,1490
51620,Franklin,City,4058,2525,1487
51630,Fredericksburg,City,12862,8517,4037
51640,Galax,City,2638,777,1838
51650,Hampton,City,65901,46220,18430
51660,Harrisonburg,City,17086,11022,5591
51670,Hopewell,City,9632,5427,4018
51678,Lexington,City,2762,1791,906
51680,Lynchburg,City,36363,18048,17097
51683,Manassas,City,16968,10356,6256
51685,Manassas Park,City,6087,3992,1979
51690,Martinsville,City,6013,3766,2165
51700,Newport News,City,81203,53099,26377
51710,Norfolk,City,83203,59396,22038
51720,Norton,City,1601,464,1109
51730,Petersburg,City,14118,12389,1584
51735,Poquoson,City,7857,2054,5605
51740,Portsmouth,City,44582,30948,12755
51750,Radford,City,6320,3358,2786
51760,Richmond,City,110363,91503,16500
51770,Roanoke,City,43323,26773,15607
51775,Salem,City,13051,5148,7683
51790,Staunton,City,12990,6981,5695
51800,Suffolk,City,49642,28676,20082
51810,Virginia Beach,City,227561,117393,105087
51820,Waynesboro,City,10717,4961,5507
51830,Williamsburg,City,6883,4790,1963
51840,Winchester,City,12106,6610,5221
53001,Adams,County,5810,1789,3881
53003,Asotin,County,11863,4233,7259
53005,Benton,County,102686,38572,60177
53007,Chelan,County,42663,19005,22476
53009,Clallam,County,48894,24532,22912
53011,Clark,County,274863,140070,126047
53013,Columbia,County,2495,668,1754
53015,Cowlitz,County,60112,23889,34314
53017,Douglas,County,21235,7787,12908
53019,Ferry,County,4310,1465,2735
53021,Franklin,County,32009,13148,17849
53023,Garfield,County,1478,362,1062
53025,Grant,County,37349,11674,24594
53027,Grays Harbor,County,37945,17172,19590
53029,Island,County,53830,29171,22698
53031,Jefferson,County,24767,17190,6921
53033,King,County,1206911,905099,267978
53035,Kitsap,County,158131,89985,61357
53037,Kittitas,County,25579,11004,13778
53039,Klickitat,County,13532,5947,7223
53041,Lewis,County,45170,14462,29318
53043,Lincoln,County,7014,1711,5134
53045,Mason,County,37253,17253,18676
53047,Okanogan,County,21027,8788,11710
53049,Pacific,County,14020,6776,6930
53051,Pend Oreille,County,8462,2578,5655
53053,Pierce,County,463166,249074,197311
53055,San Juan,County,12996,9606,2994
53057,Skagit,County,71703,37338,32030
53059,Skamania,County,7110,3100,3783
53061,Snohomish,County,436761,255609,165650
53063,Spokane,County,294813,135511,148244
53065,Stevens,County,26723,7451,18576
53067,Thurston,County,167457,96255,64995
53069,Wahkiakum,County,2933,1150,1711
53071,Walla Walla,County,28286,12606,14688
53073,Whatcom,County,138422,83557,50407
53075,Whitman,County,20018,10570,8642
53077,Yakima,County,96150,43162,50531
54001,Barbour,County,6677,1457,5116
54003,Berkeley,County,51535,17186,33279
54005,Boone,County,9012,2041,6816
54007,Braxton,County,5664,1457,4120
54009,Brooke,County,10656,2947,7545
54011,Cabell,County,37360,14994,21721
54013,Calhoun,County,2971,568,2364
54015,Clay,County,3365,641,2679
54017,Doddridge,County,3101,435,2619
54019,Fayette,County,16862,5063,11580
54021,Gilmer,County,2662,599,2012
54023,Grant,County,5509,607,4871
54025,Greenbrier,County,15850,4655,10925
54027,Hampshire,County,10086,1939,8033
54029,Hancock,County,13800,3790,9806
54031,Hardy,County,6331,1381,4859
54033,Harrison,County,30292,9149,20581
54035,Jackson,County,13508,3207,10093
54037,Jefferson,County,27703,12127,15033
54039,Kanawha,County,82244,34344,46398
54041,Lewis,County,7457,1538,5782
54043,Lincoln,County,7830,1711,6012
54045,Logan,County,13026,2333,10534
54047,McDowell,County,6527,1333,5148
54049,Marion,County,25794,8901,16300
54051,Marshall,County,14080,3455,10435
54053,Mason,County,11118,2511,8422
54055,Mercer,County,25134,5556,19237
54057,Mineral,County,12872,2660,10040
54059,Mingo,County,9987,1385,8521
54061,Monongalia,County,42072,20282,20803
54063,Monroe,County,6490,1345,5068
54065,Morgan,County,8695,1998,6537
54067,Nicholas,County,10630,2226,8279
54069,Ohio,County,19898,7223,12354
54071,Pendleton,County,3659,820,2782
54073,Pleasants,County,3491,699,2742
54075,Pocahontas,County,4008,1047,2895
54077,Preston,County,14572,3163,11190
54079,Putnam,County,28501,7878,20034
54081,Raleigh,County,33106,7982,24673
54083,Randolph,County,12200,3362,8673
54085,Ritchie,County,4283,586,3649
54087,Roane,County,5763,1455,4213
54089,Summers,County,5585,1448,4074
54091,Taylor,County,7383,1796,5477
54093,Tucker,County,3844,938,2841
54095,Tyler,County,3922,631,3226
54097,Upshur,County,10221,2256,7771
54099,Wayne,County,16694,3964,12462
54101,Webster,County,3402,610,2759
54103,Wetzel,County,6667,1539,4993
54105,Wirt,County,2653,466,2134
54107,Wood,County,38403,10816,26963
54109,Wyoming,County,8592,1157,7353
55001,Adams,County,11818,4329,7362
55003,Ashland,County,8751,4794,3845
55005,Barron,County,25315,9188,15797
55007,Bayfield,County,10885,6155,4617
55009,Brown,County,144011,65509,75865
55011,Buffalo,County,7811,2859,4834
55013,Burnett,County,10141,3569,6461
55015,Calumet,County,30858,12115,18142
55017,Chippewa,County,35945,14001,21316
55019,Clark,County,14873,4520,10001
55021,Columbia,County,33847,16408,16925
55023,Crawford,County,8695,3953,4620
55025,Dane,County,344745,260157,78789
55027,Dodge,County,48497,16355,31354
55029,Door,County,20117,10044,9752
55031,Douglas,County,24668,13214,10919
55033,Dunn,County,23543,9909,13176
55035,Eau Claire,County,58235,31617,25339
55037,Florence,County,2939,781,2133
55039,Fond du Lac,County,57322,20588,35754
55041,Forest,County,5052,1722,3287
55043,Grant,County,25377,10942,13981
55045,Green,County,21400,10850,10165
55047,Green Lake,County,10663,3344,7165
55049,Iowa,County,13984,7828,5907
55051,Iron,County,4031,1533,2439
55053,Jackson,County,10180,4255,5789
55055,Jefferson,County,47967,19904,27209
55057,Juneau,County,13703,4747,8749
55059,Kenosha,County,88691,42191,44972
55061,Kewaunee,County,12071,3977,7927
55063,La Crosse,County,67798,37817,28661
55065,Lafayette,County,8561,3647,4820
55067,Langlade,County,11159,3703,7330
55069,Lincoln,County,16520,6260,10017
55071,Manitowoc,County,44806,16815,27217
55073,Marathon,County,76741,30807,44623
55075,Marinette,County,22959,7363,15303
55077,Marquette,County,9063,3239,5719
55078,Menominee,County,1585,1303,278
55079,Milwaukee,County,458935,317251,134355
55081,Monroe,County,22604,8432,13775
55083,Oconto,County,23214,6715,16226
55085,Oneida,County,24159,10105,13671
55087,Outagamie,County,108223,47659,58379
55089,Ozaukee,County,61453,26515,33912
55091,Pepin,County,4140,1489,2584
55093,Pierce,County,23336,9789,12813
55095,Polk,County,26325,9361,16590
55097,Portage,County,40602,20426,19298
55099,Price,County,8645,3132,5394
55101,Racine,County,106441,50154,54475
55103,Richland,County,8745,3849,4755
55105,Rock,County,85348,46649,37133
55107,Rusk,County,7887,2517,5257
55109,St. Croix,County,56701,23190,32190
55111,Sauk,County,36249,18103,17489
55113,Sawyer,County,10479,4494,5883
55115,Shawano,County,22886,7131,15447
55117,Sheboygan,County,66035,27109,37624
55119,Taylor,County,10685,2693,7656
55121,Trempealeau,County,15359,6283,8828
55123,Vernon,County,15910,7457,8216
55125,Vilas,County,15338,5903,9261
55127,Walworth,County,57588,22783,33844
55129,Washburn,County,10375,3867,6332
55131,Washington,County,88254,26647,60235
55133,Waukesha,County,267957,103867,159633
55135,Waupaca,County,29122,9699,18948
55137,Waushara,County,13564,4388,9016
55139,Winnebago,County,94032,44060,47795
55141,Wood,County,41196,16360,24306
56001,Albany,County,18617,9092,8579
56003,Big Horn,County,5752,788,4806
56005,Campbell,County,19566,1935,16975
56007,Carbon,County,6664,1427,5014
56009,Converse,County,6970,861,5917
56011,Crook,County,4119,378,3651
56013,Fremont,County,18111,5519,12007
56015,Goshen,County,6241,1203,4878
56017,Hot Springs,County,2577,482,1999
56019,Johnson,County,4914,897,3881
56021,Laramie,County,44982,15217,27891
56023,Lincoln,County,10468,1509,8643
56025,Natrona,County,35202,8530,25271
56027,Niobrara,County,1308,155,1118
56029,Park,County,16717,3410,12813
56031,Platte,County,4923,890,3898
56033,Sheridan,County,16428,4043,11843
56035,Sublette,County,4970,882,3957
56037,Sweetwater,County,16603,3823,12229
56039,Teton,County,14677,9848,4341
56041,Uinta,County,9402,1591,7496
56043,Washakie,County,4012,651,3245
56045,Weston,County,3542,360,3107
